"","OBJECTID","OBJECTID_1","acres","croptype","Band2","Band3","Band4","Band8","Band5","Band6","Band7","Band11","Band12","Band8A","EVI","GCI","NDTI","PSRI","SAVI"
"33",6516508,509621,60.1304233254006,"ALMOND",0.0535529628396034,0.0807944610714912,0.0734358504414558,0.301681190729141,0.121302403509617,0.249925717711449,0.292988121509552,0.212036669254303,0.135946974158287,0.313427269458771,0.429531991481781,2.92966818809509,0.237529128789902,0.0822100937366486,0.392636954784393
"34",6516518,509631,76.5415599047673,"ALMOND",0.0572108924388885,0.0882171839475632,0.0819701626896858,0.313078910112381,0.135368600487709,0.259699076414108,0.302056908607483,0.232661753892899,0.149198770523071,0.325180888175964,0.423792958259583,2.70239853858948,0.228710368275642,0.0978307500481606,0.388476699590683
"35",6516519,509632,78.2203785334629,"ALMOND",0.0466500222682953,0.0773055329918861,0.0608744472265244,0.328732997179031,0.119218498468399,0.27243983745575,0.319828718900681,0.199290454387665,0.119366675615311,0.338967382907867,0.502289652824402,3.45230770111084,0.266244947910309,0.0540633164346218,0.453367739915848
"36",6516520,509633,71.3470665373671,"ALMOND",0.0448860861361027,0.0764247328042984,0.0566988438367844,0.344682931900024,0.117277316749096,0.284229069948196,0.335701704025269,0.19177183508873,0.110746562480927,0.354514449834824,0.537424862384796,3.70266246795654,0.282197594642639,0.0421611294150352,0.480645000934601
"37",6524352,509804,54.3182289601805,"ALMOND",0.0448556393384933,0.0751705020666122,0.0533604547381401,0.361597239971161,0.115450836718082,0.29391548037529,0.350851237773895,0.190788194537163,0.105979673564434,0.372352302074432,0.574015617370605,3.92858958244324,0.297970145940781,0.0307173915207386,0.505430042743683
"38",6524353,509805,126.92277106091,"ALMOND",0.0484213531017303,0.0753898993134499,0.0619889423251152,0.380280435085297,0.114614315330982,0.299111127853394,0.367176532745361,0.208861738443375,0.12272534519434,0.391988843679428,0.574194312095642,4.36943531036377,0.277472704648972,0.0484669283032417,0.506425261497498
"39",6524354,509806,72.7390911078636,"ALMOND",0.0477872677147388,0.0760478302836418,0.0594653151929379,0.332323849201202,0.115630380809307,0.272367656230927,0.321514338254929,0.199250847101212,0.117370739579201,0.342278182506561,0.514953255653381,3.54578280448914,0.271283119916916,0.0438924804329872,0.460097253322601
"40",6524355,509807,123.450226421266,"ALMOND",0.05383525416255,0.0814210548996925,0.0744843408465385,0.349272072315216,0.123467773199081,0.275740504264832,0.334509998559952,0.232343599200249,0.146157070994377,0.360201269388199,0.495952099561691,3.74646878242493,0.243957072496414,0.082354448735714,0.445365726947784
"41",6524356,509808,79.0389698511917,"ALMOND",0.0450957976281643,0.0729241073131561,0.0563508532941341,0.335859537124634,0.112486526370049,0.273287385702133,0.324276655912399,0.201876029372215,0.117123767733574,0.346643626689911,0.524846732616425,3.73994946479797,0.276211977005005,0.0422989912331104,0.470650643110275
"42",6524357,509809,121.547520812079,"ALMOND",0.0415131114423275,0.0699516981840134,0.0477280430495739,0.38372015953064,0.107465192675591,0.30617219209671,0.372256726026535,0.185928985476494,0.0998030230402946,0.393285661935806,0.620059788227081,4.6869421005249,0.319103211164474,0.0227705910801888,0.541170597076416
"43",6524358,509810,38.6537555336277,"ALMOND",0.057126697152853,0.0894231274724007,0.0792757570743561,0.361966848373413,0.13873964548111,0.294744610786438,0.348081260919571,0.248878687620163,0.157567709684372,0.373833566904068,0.504240930080414,3.24886608123779,0.236842885613441,0.0778334960341454,0.451822489500046
"44",6524372,509824,73.5325272711058,"WALNUT",0.0393738076090813,0.0680635496973991,0.0511259250342846,0.366673618555069,0.107549041509628,0.2919921875,0.350162267684937,0.228430524468422,0.132697552442551,0.377108424901962,0.573832333087921,4.60358762741089,0.273983776569366,0.0420827008783817,0.515614926815033
"45",6524389,509841,155.511440968597,"ALMOND",0.0561955720186234,0.0865311175584793,0.0738380253314972,0.327005714178085,0.129249483346939,0.269046038389206,0.314830601215363,0.226345926523209,0.144246459007263,0.337906002998352,0.473777800798416,3.08439421653748,0.245891943573952,0.0675461143255234,0.424065172672272
"46",6524421,509872,49.8368146218948,"ALMOND",0.0561679787933826,0.0865999981760979,0.0775388702750206,0.326820909976959,0.133107408881187,0.2701196372509,0.314900666475296,0.236710488796234,0.150567531585693,0.338027209043503,0.457350224256516,2.88888072967529,0.229811653494835,0.080372266471386,0.414744079113007
"47",6524424,509875,79.8424316872874,"ALMOND",0.0631745383143425,0.0929644629359245,0.0851910635828972,0.382412970066071,0.132763966917992,0.301199287176132,0.364116042852402,0.231291979551315,0.151612728834152,0.38759782910347,0.520525455474854,3.52288508415222,0.224649429321289,0.0768507495522499,0.459942996501923
"48",6524431,509882,76.4624958309939,"ALMOND",0.0622976571321487,0.0947012826800346,0.0891617834568024,0.379432797431946,0.138485729694366,0.305633217096329,0.366011053323746,0.251722902059555,0.173515126109123,0.387800514698029,0.502530574798584,3.07205677032471,0.18677282333374,0.0893116891384125,0.449468940496445
